部門 ,儀器設備編號,儀器類別,儀器設備名稱,廠牌,精度,使用範圍,校正點,允收標準,TAF Logo,入廠日期,管理者,校驗類別,校驗週期,備  註,設備能力範圍,上次校正日期,實際校正日期,下次校正日期,下次校正月,外校報告,2025年校正日,2025年校正商
印度廠,I000-01內-001,01游標卡尺,游標卡尺,"Sylvac 810-1522-10
(SER:098620)PD309574",0.01mm,"外徑0~200mm
內徑0~50mm","外徑(mm): 0,1,3,5,10,25,50,100,150,200
內徑(mm): 3,5.5,10,25,50","外徑 (mm)1~24 ±0.02 ; 25~100 ±0.04
101~200 ±0.06
內徑 (mm) ≦10 ±0.02 ; >10 ±0.04",,2025/10/8,陳俊宇,內校,一年,202510_新增，移轉至印度廠，同時除帳。,0-200mm,-,2025/10/14,2026/10/13,編號除帳,,,
印度廠,I000-01內-002,01游標卡尺,游標卡尺,"Sylvac 810-1522-10
(SER:098621)PD310069",0.01mm,"外徑0~200mm
內徑0~50mm","外徑(mm): 0,1,3,5,10,25,50,100,150,200
內徑(mm): 3,5.5,10,25,50","外徑 (mm)1~24 ±0.02 ; 25~100 ±0.04
101~200 ±0.06
內徑 (mm) ≦10 ±0.02 ; >10 ±0.04",,2025/10/8,陳俊宇,內校,一年,202510_新增，移轉至印度廠，同時除帳。,0-200mm,-,2025/10/14,2026/10/13,編號除帳,,,
印度廠,I000-01內-003,01游標卡尺,游標卡尺,"Sylvac 810-1522-10
(SER:098632)PD309797",0.01mm,"外徑0~200mm
內徑0~50mm","外徑(mm): 0,1,3,5,10,25,50,100,150,200
內徑(mm): 3,5.5,10,25,50","外徑 (mm)1~24 ±0.02 ; 25~100 ±0.04
101~200 ±0.06
內徑 (mm) ≦10 ±0.02 ; >10 ±0.04",,2025/10/8,陳俊宇,內校,一年,202510_新增，移轉至印度廠，同時除帳。,0-200mm,-,2025/10/14,2026/10/13,編號除帳,,,
印度廠,I000-01內-004,01游標卡尺,游標卡尺,"Sylvac 810-1522-10
(SER:098633)PD309554",0.01mm,"外徑0~200mm
內徑0~50mm","外徑(mm): 0,1,3,5,10,25,50,100,150,200
內徑(mm): 3,5.5,10,25,50","外徑 (mm)1~24 ±0.02 ; 25~100 ±0.04
101~200 ±0.06
內徑 (mm) ≦10 ±0.02 ; >10 ±0.04",,2025/10/8,陳俊宇,內校,一年,202510_新增，移轉至印度廠，同時除帳。,0-200mm,-,2025/10/14,2026/10/13,編號除帳,,,
印度廠,I000-02內-001,02分厘卡,外徑分厘卡,"MITUTOYO (C/N 331-261-30) 
(S/N76169687)",0.001mm,0-25mm,"(mm) 0, 5, 10, 15, 25",±0.01mm,,2025/10/8,陳俊宇,內校,一年,"202510_新增,測頭2mm，移轉至印度廠，同時除帳。",0-25mm,-,2025/10/14,2026/10/13,編號除帳,,,
印度廠,I000-02內-002,02分厘卡,外徑分厘卡,"MITUTOYO (C/N 331-261-30) 
(S/N76170849)",0.001mm,0-25mm,"(mm) 0, 5, 10, 15, 25",±0.01mm,,2025/10/8,陳俊宇,內校,一年,"202510_新增,測頭2mm，移轉至印度廠，同時除帳。",0-25mm,-,2025/10/14,2026/10/13,編號除帳,,,
印度廠,I000-05外-001,05拉力機,拉力機0.5T電腦伺服,"弘達HT-2402*500kgf
序號:5189",0.01kg,0～500 kgf,"下次荷重從1kgf開始作
1. 拉伸校正*1PCS
2. 荷重元(kgf) : 5, 10, 20, 50, 100, 200, 300, 400, 500每一測點3次循環 
3.速度:50, 100, 300, 500, 700mm/min","1.拉伸力量:平均值 ±1%
2.速度 ±1%",,-,謝官良,外校,二年,2025_新增，移轉至印度廠，同時除帳。,0～200 kgf,-,2025/5/7,2027/5/6,202705,"HP05014
FP05034","2025/5/7
2025/5/16",弘達
印度廠,I000-05外-002,05影像量測儀,2.5D光學影像量測儀,"ARCS/SVP-3020 
(S/N:CI320B101M-140065260)",0.0005mm,"X300*Y200*Z200mm
0~360°","行程器差(mm) ：
X軸：0、60、120、180、240、300
Y軸：0、40 、80、120、160、200
Z軸：0、25、50、75、100、125、150、200
角度：0、60、120、180、240、300、360","1.行程器差 ±0.02mm
2.角度器差 ±0.5°",,-,謝官良,外校,二年,2025_新增，移轉至印度廠，同時除帳。,"X300*Y200*Z200mm
0~360°",-,2025/4/18,2027/4/17,202704,"VR2506023
OR2506001",2025/4/18,源台
印度廠,I000-05外-003,05自動插拔機,自動插拔試驗機_50㎏,"機台:順瀅1220S 序號:12C307G25608
荷重元:Model AL-50K 序號:05025606",0.001kg,0-50kg,"荷重元：0,0.1,0.5,1,5,10,15,25,35,45Kgf",±2%,,-,謝官良,外校,一年,2025_新增，移轉至印度廠，同時除帳。,0-50kg,-,2025/7/4,2026/7/3,202606,,2025/7/3,順瀅
印度廠,I000-07內-001,05鋼尺,鋼尺30cm,-,1mm,0-30cm,"(cm) 0, 5, 10, 15, 20, 25, 30
","0 ±0
>0 ±0.1cm",,2025/10/8,陳俊宇,內校,一年,202510_新增，移轉至印度廠，同時除帳。,0-30cm,-,2025/10/14,2026/10/13,編號除帳,,,
